"Illinois","M","0","89600","95012"
"Illinois","M","1","88445","91829"
"Illinois","M","2","88729","89547"
"Illinois","M","3","88868","90037"
"Illinois","M","4","91947","91111"
"Illinois","M","5","93894","89802"
"Illinois","M","6","93676","88931"
"Illinois","M","7","94818","90940"
"Illinois","M","8","95035","86943"
"Illinois","M","9","96436","86055"
"Illinois","M","10","97280","86565"
"Illinois","M","11","94029","86606"
"Illinois","M","12","92402","89596"
"Illinois","M","13","89926","91661"
"Illinois","M","14","90717","91256"
"Illinois","M","15","92178","92729"
"Illinois","M","16","90587","93083"
"Illinois","M","17","92782","94541"
"Illinois","M","18","90997","100253"
"Illinois","M","19","89629","96588"
"Illinois","M","20","91040","95460"
"Illinois","M","21","85176","91373"
"Illinois","M","22","84372","90723"
"Illinois","M","23","85529","91982"
"Illinois","M","24","84549","90237"
"Illinois","M","25","87630","95217"
"Illinois","M","26","84205","93351"
"Illinois","M","27","87481","92949"
"Illinois","M","28","91586","93929"
"Illinois","M","29","95226","89559"
"Illinois","M","30","98572","89598"
"Illinois","M","31","91469","90093"
"Illinois","M","32","89813","87703"
"Illinois","M","33","89694","90090"
"Illinois","M","34","91474","84679"
"Illinois","M","35","97796","86172"
"Illinois","M","36","97688","90250"
"Illinois","M","37","97664","92422"
"Illinois","M","38","98705","95862"
"Illinois","M","39","100103","88235"
"Illinois","M","40","103045","87299"
"Illinois","M","41","98235","87285"
"Illinois","M","42","97946","88474"
"Illinois","M","43","96490","94799"
"Illinois","M","44","92713","94893"
"Illinois","M","45","93817","94278"
"Illinois","M","46","87706","95633"
"Illinois","M","47","85685","96731"
"Illinois","M","48","83445","99113"
"Illinois","M","49","81182","94273"
"Illinois","M","50","81005","93425"
"Illinois","M","51","75942","92133"
"Illinois","M","52","75896","87504"
"Illinois","M","53","78933","88458"
"Illinois","M","54","58953","82456"
"Illinois","M","55","57885","79601"
"Illinois","M","56","58143","77447"
"Illinois","M","57","60590","74349"
"Illinois","M","58","54120","73646"
"Illinois","M","59","49046","68179"
"Illinois","M","60","47509","67186"
"Illinois","M","61","45588","70789"
"Illinois","M","62","44604","50790"
"Illinois","M","63","41700","49725"
"Illinois","M","64","40316","48773"
"Illinois","M","65","39696","51139"
"Illinois","M","66","35784","45248"
"Illinois","M","67","35251","40085"
"Illinois","M","68","34729","38613"
"Illinois","M","69","34914","36909"
