Bream,242.0,23.2,25.4,30.0,38.4,13.4
Bream,290.0,24.0,26.3,31.2,40.0,13.8
Bream,340.0,23.9,26.5,31.1,39.8,15.1
Bream,363.0,26.3,29.0,33.5,38.0,13.3
Bream,430.0,26.5,29.0,34.0,36.6,15.1
Bream,450.0,26.8,29.7,34.7,39.2,14.2
Bream,500.0,26.8,29.7,34.5,41.1,15.3
Bream,390.0,27.6,30.0,35.0,36.2,13.4
Bream,450.0,27.6,30.0,35.1,39.9,13.8
Bream,500.0,28.5,30.7,36.2,39.3,13.7
Bream,475.0,28.4,31.0,36.2,39.4,14.1
Bream,500.0,28.7,31.0,36.2,39.7,13.3
Bream,500.0,29.1,31.5,36.4,37.8,12.0
Bream,600.0,29.4,32.0,37.2,40.2,13.9
Bream,600.0,29.4,32.0,37.2,41.5,15.0
Bream,700.0,30.4,33.0,38.3,38.8,13.8
Bream,700.0,30.4,33.0,38.5,38.8,13.5
Bream,610.0,30.9,33.5,38.6,40.5,13.3
Bream,650.0,31.0,33.5,38.7,37.4,14.8
Bream,575.0,31.3,34.0,39.5,38.3,14.1
Bream,685.0,31.4,34.0,39.2,40.8,13.7
Bream,620.0,31.5,34.5,39.7,39.1,13.3
Bream,680.0,31.8,35.0,40.6,38.1,15.1
Bream,700.0,31.9,35.0,40.5,40.1,13.8
Bream,725.0,31.8,35.0,40.9,40.0,14.8
Bream,720.0,32.0,35.0,40.6,40.3,15.0
Bream,714.0,32.7,36.0,41.5,39.8,14.1
Bream,850.0,32.8,36.0,41.6,40.6,14.9
Bream,1000.0,33.5,37.0,42.6,44.5,15.5
Bream,920.0,35.0,38.5,44.1,40.9,14.3
Bream,955.0,35.0,38.5,44.0,41.1,14.3
Bream,925.0,36.2,39.5,45.3,41.4,14.9
Bream,975.0,37.4,41.0,45.9,40.6,14.7
Bream,950.0,38.0,41.0,46.5,37.9,13.7
Roach,40.0,12.9,14.1,16.2,25.6,14.0
Roach,69.0,16.5,18.2,20.3,26.1,13.9
Roach,78.0,17.5,18.8,21.2,26.3,13.7
Roach,87.0,18.2,19.8,22.2,25.3,14.3
Roach,120.0,18.6,20.0,22.2,28.0,16.1
Roach,0.0,19.0,20.5,22.8,28.4,14.7
Roach,110.0,19.1,20.8,23.1,26.7,14.7
Roach,120.0,19.4,21.0,23.7,25.8,13.9
Roach,150.0,20.4,22.0,24.7,23.5,15.2
Roach,145.0,20.5,22.0,24.3,27.3,14.6
Roach,160.0,20.5,22.5,25.3,27.8,15.1
Roach,140.0,21.0,22.5,25.0,26.2,13.3
Roach,160.0,21.1,22.5,25.0,25.6,15.2
Roach,169.0,22.0,24.0,27.2,27.7,14.1
Roach,161.0,22.0,23.4,26.7,25.9,13.6
Roach,200.0,22.1,23.5,26.8,27.6,15.4
Roach,180.0,23.6,25.2,27.9,25.4,14.0
Roach,290.0,24.0,26.0,29.2,30.4,15.4
Roach,272.0,25.0,27.0,30.6,28.0,15.6
Roach,390.0,29.5,31.7,35.0,27.1,15.3
Smelt,6.7,9.3,9.8,10.8,16.1,9.7
Smelt,7.5,10.0,10.5,11.6,17.0,10.0
Smelt,7.0,10.1,10.6,11.6,14.9,9.9
Smelt,9.7,10.4,11.0,12.0,18.3,11.5
Smelt,9.8,10.7,11.2,12.4,16.8,10.3
Smelt,8.7,10.8,11.3,12.6,15.7,10.2
Smelt,10.0,11.3,11.8,13.1,16.9,9.8
Smelt,9.9,11.3,11.8,13.1,16.9,8.9
Smelt,9.8,11.4,12.0,13.2,16.7,8.7
Smelt,12.2,11.5,12.2,13.4,15.6,10.4
Smelt,13.4,11.7,12.4,13.5,18.0,9.4
Smelt,12.2,12.1,13.0,13.8,16.5,9.1
Smelt,19.7,13.2,14.3,15.2,18.9,13.6
Smelt,19.9,13.8,15.0,16.2,18.1,11.6
Pike,200.0,30.0,32.3,34.8,16.0,9.7
Pike,300.0,31.7,34.0,37.8,15.1,11.0
Pike,300.0,32.7,35.0,38.8,15.3,11.3
Pike,300.0,34.8,37.3,39.8,15.8,10.1
Pike,430.0,35.5,38.0,40.5,18.0,11.3
Pike,345.0,36.0,38.5,41.0,15.6,9.7
Pike,456.0,40.0,42.5,45.5,16.0,9.5
Pike,510.0,40.0,42.5,45.5,15.0,9.8
Pike,540.0,40.1,43.0,45.8,17.0,11.2
Pike,500.0,42.0,45.0,48.0,14.5,10.2
Pike,567.0,43.2,46.0,48.7,16.0,10.0
Pike,770.0,44.8,48.0,51.2,15.0,10.5
Pike,950.0,48.3,51.7,55.1,16.2,11.2
Pike,1250.0,52.0,56.0,59.7,17.9,11.7
Pike,1600.0,56.0,60.0,64.0,15.0,9.6
Pike,1550.0,56.0,60.0,64.0,15.0,9.6
Pike,1650.0,59.0,63.4,68.0,15.9,11.0
